id,lat,lon,name,street,postcode,brand
690721437,51.5069374,-0.1459816,Caffè Nero,Curzon Street,,Caffè Nero
691084094,51.5158824,-0.1406487,Costa,Great Portland Street,W1W 8QJ,Costa
691084101,51.5164718,-0.1409473,Dulche,Great Portland Street,,
691114553,51.5182443,-0.141725,GT Corner,,,
691387452,51.5097893,-0.0794907,Carter's,Byward Street,EC3R 5AS,
691637963,51.511192,-0.127852,Cafe Koha,,,
693137893,51.4977754,-0.1839574,Cafe Deco,Gloucester Road,,
693728413,51.4061941,0.016828,Terrace Cafe & Restaurant,Widmore Road,BR1 1RW,
693728467,51.4072541,0.0579532,Chislehurst Caves,,,
694473687,51.511228,-0.077017,Camden Food Co,Fenchurch Place,EC3M 4AJ,
696746887,51.5223949,-0.1322463,Dillons,Gower Street,WC1E 6EG,
698447397,51.5228705,-0.132082,Engineering Cafe,,,
698800793,51.5915916,-0.0561688,Weighbridge Cafe,Mill Mead Road,N17 9QU,
699693936,51.4945555,-0.182426,Starbucks,Gloucester Road,,Starbucks
702796635,51.5126035,-0.090075,Starbucks,Walbrook,EC4N 8BN,Starbucks
703360692,51.5180533,-0.1171093,apostrophe,,,
703524047,51.5272968,-0.1026967,Unknown,,,
704313999,51.491734,-0.087267,Darwin Court Cafe,,,
705212455,51.4635424,-0.1144562,San Marino,Brixton Road,SW9 7DG,
707299370,51.5110877,-0.0756382,De Vine,Vine Street,EC3N 2PX,
707301027,51.510903,-0.0755982,Burrito Joe,Vine Street,EC3N 2PX,
708866092,51.5152475,-0.0799419,Caffè Nero,Saint Mary Axe,EC3A 8FR,Caffè Nero
710527432,51.5106631,-0.0763715,Unknown,,,
714549513,51.5024863,-0.092428,Costa,Borough High Street,SE1 1LB,Costa
720890821,51.5241273,-0.133231,Print Room Café,Gower Street,WC1E 6BT,
731087846,51.5120395,-0.2007618,Farm Girl,Portobello Road,,
